dist, angle, rangeIR, mts, flag
20, 2, 2217296, 29604, 1
26, 3, 2149860, 29710, 1
25, 3, 2149767, 29815, 1
21, 3, 2142187, 29905, 1
26, 3, 2083059, 30010, 1
25, 3, 2034887, 30116, 1
21, 2, 2021216, 30206, 1
26, 3, 2377624, 30311, 1
25, 3, 2637148, 30417, 1
21, 2, 2894526, 30507, 1
26, 3, 3101465, 30612, 1
25, 3, 3251157, 30717, 1
21, 2, 3383438, 30807, 1
26, 3, 3511804, 30913, 1
21, 3, 3604532, 31003, 1
25, 3, 3829431, 31108, 1
26, 3, 1837382, 31213, 1
21, 2, 1140103, 31304, 1
25, 3, 2956090, 31409, 1
26, 3, 1525495, 31514, 1
21, 2, 594786, 31604, 1
26, 3, 1985929, 31710, 1
25, 3, 2926018, 31815, 1
21, 2, 3032185, 31905, 1
26, 3, 3026437, 32011, 1
25, 3, 2936401, 32116, 1
21, 2, 2920299, 32206, 1
25, 3, 2830688, 32311, 1
26, 3, 2813084, 32417, 1
21, 2, 2724817, 32507, 1
25, 3, 2604125, 32612, 1
26, 3, 2571695, 32717, 1
21, 3, 2453589, 32807, 1
25, 3, 2391261, 32913, 1
21, 2, 2317582, 33003, 1
26, 3, 2285427, 33108, 1
25, 3, 2186162, 33214, 1
21, 3, 2182903, 33304, 1
26, 2, 2145903, 33409, 1
25, 3, 1409337, 33514, 1
21, 2, 640954, 33605, 1
26, 3, 785474, 33710, 1
25, 3, 1782653, 33815, 1
21, 3, 2214221, 33905, 1
26, 3, 2344361, 34011, 1
25, 3, 2506144, 34116, 1
21, 2, 2604831, 34206, 1
26, 3, 2637804, 34311, 1
25, 3, 2749980, 34417, 1
22, 3, 2812937, 34507, 1
25, 3, 2876175, 34612, 1
25, 3, 2905688, 34717, 1
21, 2, 2936239, 34808, 1
26, 3, 2936376, 34913, 1
21, 3, 2938378, 35003, 1
26, 3, 2991414, 35109, 1
25, 3, 2940052, 35214, 1
21, 2, 2939987, 35304, 1
25, 3, 2905952, 35409, 1
26, 3, 2874369, 35514, 1
21, 2, 2840258, 35605, 1
25, 3, 2649201, 35710, 1
26, 3, 2717224, 35815, 1
20, 2, 2642593, 35906, 1
26, 3, 2613519, 36011, 1
26, 3, 2511750, 36116, 1
21, 2, 2443241, 36206, 1
25, 3, 2407632, 36311, 1
26, 3, 2331718, 36417, 1
21, 3, 2306095, 36507, 1
26, 3, 2185725, 36612, 1
25, 3, 2120622, 36718, 1
21, 2, 2085674, 36808, 1
25, 3, 2756905, 36913, 1
21, 3, 2968477, 37003, 1
26, 3, 3219116, 37109, 1
25, 3, 3485897, 37214, 1
21, 2, 3704263, 37304, 1
26, 3, 3924623, 37409, 1
25, 3, 3923784, 37515, 1
22, 3, 4118596, 37605, 1
25, 3, 4244143, 37710, 1
25, 3, 4306914, 37815, 1
21, 2, 4361938, 37906, 1
26, 3, 4283929, 38011, 1
25, 3, 4278886, 38116, 1
22, 3, 4280277, 38206, 1
25, 3, 4247492, 38312, 1
25, 3, 4086283, 38417, 1
21, 2, 4149407, 38507, 1
26, 3, 4048102, 38612, 1
26, 3, 4027002, 38718, 1
20, 2, 3942193, 38808, 1
26, 3, 3882930, 38913, 1
21, 2, 3775760, 39003, 1
26, 3, 3829695, 39109, 1
25, 3, 3508923, 39214, 1
21, 3, 3330777, 39304, 1
26, 3, 3386025, 39409, 1
25, 3, 3254603, 39515, 1
21, 2, 3111649, 39605, 1
25, 3, 2972586, 39710, 1
26, 3, 2909983, 39815, 1
21, 3, 2841856, 39906, 1
25, 3, 2950387, 40011, 1
26, 3, 2701929, 40116, 1
21, 2, 2636333, 40206, 1
26, 3, 2717597, 40312, 1
25, 3, 2691932, 40417, 1
21, 3, 2603799, 40507, 1
26, 3, 2627123, 40612, 1
25, 3, 2720378, 40718, 1
21, 2, 2772781, 40808, 1
26, 3, 2855794, 40913, 1
21, 3, 2986975, 41004, 1
25, 3, 2875374, 41109, 1
26, 3, 2910922, 41214, 1
20, 2, 3031757, 41304, 1
26, 3, 3153790, 41409, 1
25, 3, 3323104, 41515, 1
21, 3, 3270135, 41605, 1
26, 3, 3275458, 41710, 1
25, 3, 3367600, 41816, 1
21, 2, 3293331, 41906, 1
26, 3, 3382295, 42011, 1
26, 3, 3319451, 42116, 1
20, 2, 3255010, 42207, 1
26, 3, 3078244, 42312, 1
25, 3, 3001544, 42417, 1
21, 2, 3003719, 42508, 1
26, 3, 2911856, 42612, 1
25, 3, 2942836, 42718, 1
22, 2, 2665114, 42808, 1
25, 3, 2376157, 42913, 1
21, 2, 2378111, 43004, 1
25, 3, 2255500, 43109, 1
26, 3, 2126465, 43214, 1
21, 2, 2156972, 43304, 1
25, 3, 2118386, 43409, 1
26, 3, 2183586, 43515, 1
21, 2, 2081917, 43605, 1
25, 3, 1959187, 43710, 1
26, 3, 2258212, 43816, 1
21, 2, 2591690, 43906, 1
25, 3, 2778426, 44011, 1
26, 3, 2912900, 44116, 1
