dist, angle, rangeIR, mts, flag
65535, 12, 1577301, 26320, 1
0, 10, 1208983, 26410, 1
65535, 11, 392895, 26515, 1
0, 12, 1290721, 26621, 1
65535, 10, 1857829, 26711, 1
0, 12, 1322982, 26816, 1
0, 10, 1604129, 26906, 1
0, 12, 911353, 27012, 1
65535, 12, 1030846, 27117, 1
0, 11, 4358567, 27418, 1
65535, 10, 2303780, 27508, 1
0, 12, 3114691, 27613, 1
0, 12, 3012161, 27718, 1
65535, 10, 5939962, 27809, 1
0, 12, 6135567, 27914, 1
65535, 12, 3166025, 28019, 1
0, 10, 2387753, 28109, 1
65535, 12, 2968104, 28215, 1
0, 12, 2937062, 28320, 1
65535, 10, 2944222, 28410, 1
0, 12, 2807127, 28515, 1
0, 11, 2411327, 28621, 1
65535, 10, 357346, 28711, 1
0, 12, 3114176, 28816, 1
65535, 10, 3802379, 28906, 1
0, 12, 3493923, 29012, 1
65535, 12, 2619281, 29117, 1
0, 10, 1245043, 29207, 1
0, 12, 1655565, 29312, 1
65535, 12, 1621057, 29418, 1
0, 10, 1553114, 29508, 1
0, 12, 542373, 29613, 1
65535, 12, 454759, 29718, 1
0, 10, 1487171, 29809, 1
65535, 11, 1872401, 29914, 1
0, 12, 1110541, 30019, 1
0, 10, 1644961, 30109, 1
65535, 12, 615870, 30215, 1
0, 12, 159975, 30320, 1
0, 10, 4887433, 30410, 1
65535, 12, 5155458, 30516, 1
65535, 11, 2603626, 30621, 1
0, 10, 3567581, 30711, 1
0, 12, 2986898, 30816, 1
0, 10, 5001896, 30907, 1
65535, 12, 6422054, 31012, 1
65535, 12, 4513246, 31117, 1
0, 10, 2017867, 31208, 1
65535, 11, 2869885, 31312, 1
0, 12, 3003131, 31418, 1
0, 10, 3090529, 31508, 1
65535, 12, 2814011, 31613, 1
0, 12, 2725960, 31719, 1
0, 10, 2060120, 31809, 1
65535, 12, 102818, 31914, 1
0, 12, 3382993, 32019, 1
65535, 10, 3682256, 32110, 1
0, 12, 3313239, 32215, 1
65535, 12, 2032913, 32320, 1
0, 10, 1618770, 32410, 1
0, 11, 1653509, 32515, 1
65535, 12, 1617520, 32621, 1
0, 10, 1389787, 32711, 1
65535, 12, 149630, 32816, 1
0, 10, 1207908, 32907, 1
65535, 12, 1835403, 33012, 1
0, 12, 1486351, 33117, 1
0, 10, 1350886, 33207, 1
65535, 12, 983922, 33313, 1
0, 10, 521472, 33508, 1
65535, 12, 5689935, 33613, 1
0, 11, 4786725, 33719, 1
65535, 10, 2849022, 33809, 1
0, 12, 2924873, 33914, 1
0, 12, 2968823, 34019, 1
65535, 10, 5747416, 34110, 1
0, 12, 6348085, 34215, 1
65535, 12, 3619746, 34320, 1
65535, 10, 2289395, 34410, 1
0, 12, 3002447, 34516, 1
65535, 12, 3032207, 34621, 1
0, 10, 3032930, 34711, 1
0, 12, 2811083, 34816, 1
65535, 10, 2741450, 34906, 1
0, 12, 618924, 35012, 1
0, 11, 2291227, 35117, 1
65535, 10, 3806038, 35207, 1
0, 12, 3453454, 35313, 1
65535, 12, 3223715, 35418, 1
0, 10, 1296643, 35508, 1
0, 12, 1651374, 35613, 1
65535, 12, 1598441, 35719, 1
0, 10, 1525476, 35809, 1
0, 12, 495207, 35914, 1
65535, 12, 460867, 36019, 1
0, 10, 1356596, 36110, 1
65535, 12, 1826763, 36215, 1
0, 11, 1220659, 36320, 1
0, 10, 1407675, 36410, 1
65535, 12, 831809, 36516, 1
0, 10, 479754, 36606, 1
65535, 12, 5327569, 36711, 1
0, 12, 4932978, 36817, 1
65535, 10, 3039156, 36907, 1
0, 11, 3568296, 37012, 1
0, 12, 3001279, 37117, 1
0, 10, 4673405, 37207, 1
65535, 11, 6558592, 37313, 1
65535, 12, 5840730, 37418, 1
0, 10, 2760899, 37508, 1
65535, 12, 3032581, 37613, 1
0, 11, 3032325, 37719, 1
65535, 10, 3067274, 37809, 1
0, 12, 2852488, 37914, 1
0, 12, 2754053, 38019, 1
65535, 10, 2374361, 38110, 1
0, 12, 217652, 38215, 1
65535, 12, 3406432, 38320, 1
0, 10, 3802884, 38411, 1
65535, 12, 3381404, 38516, 1
0, 10, 2562039, 38606, 1
0, 12, 1515893, 38711, 1
65535, 11, 1720680, 38816, 1
0, 10, 1525705, 38907, 1
0, 11, 1271181, 39012, 1
65535, 12, 188665, 39117, 1
0, 10, 997438, 39208, 1
65535, 12, 1754504, 39313, 1
0, 12, 1611992, 39418, 1
0, 10, 1067027, 39508, 1
65535, 12, 1003730, 39613, 1
0, 12, 692623, 39719, 1
65535, 10, 1041614, 39809, 1
0, 12, 5587473, 39914, 1
0, 11, 4290068, 40020, 1
65535, 10, 2360696, 40110, 1
0, 12, 3079192, 40215, 1
65535, 12, 3148241, 40320, 1
0, 10, 6130206, 40411, 1
65535, 12, 6391926, 40516, 1
0, 10, 4153477, 40606, 1
65535, 12, 2152003, 40711, 1
0, 12, 2970312, 40817, 1
65535, 10, 3065827, 40907, 1
0, 12, 3203323, 41012, 1
0, 12, 2867953, 41117, 1
65535, 10, 2627037, 41208, 1
0, 12, 1087324, 41313, 1
65535, 11, 1499253, 41418, 1
0, 10, 3552949, 41508, 1
0, 12, 3627000, 41613, 1
65535, 12, 3353351, 41719, 1
0, 10, 1934586, 41809, 1
65535, 12, 1655157, 41914, 1
0, 12, 1652983, 42020, 1
0, 10, 1550071, 42110, 1
65535, 12, 781221, 42215, 1
0, 12, 145672, 42320, 1
65535, 10, 1275792, 42411, 1
