dist, angle, rangeIR, mts, flag
7, 1, 2635237, 102727, 1
7, 1, 2607044, 102757, 1
7, 0, 2561338, 102787, 1
7, 1, 2526041, 102817, 1
7, 1, 2571978, 102847, 1
7, 1, 2608522, 102877, 1
7, 0, 2589166, 102907, 1
7, 1, 2616093, 102938, 1
7, 1, 2635536, 102968, 1
7, 1, 2582642, 102998, 1
7, 0, 2518700, 103028, 1
7, 1, 2507533, 103058, 1
7, 1, 2271366, 103088, 1
3, 0, 2149506, 103103, 1
10, 1, 2301249, 103148, 1
4, 0, 2422977, 103163, 1
7, 1, 2571813, 103193, 1
7, 1, 2551893, 103223, 1
7, 0, 2403621, 103253, 1
7, 1, 2521177, 103283, 1
7, 1, 2726319, 103313, 1
7, 1, 2674137, 103343, 1
7, 0, 2456995, 103374, 1
7, 1, 2378879, 103404, 1
7, 1, 2475101, 103434, 1
7, 1, 2494486, 103464, 1
7, 0, 2494486, 103494, 1
7, 1, 2461793, 103524, 1
7, 1, 2475649, 103554, 1
7, 1, 2540521, 103584, 1
7, 0, 2548223, 103614, 1
7, 1, 2449522, 103644, 1
7, 1, 2506316, 103674, 1
7, 1, 2558886, 103704, 1
7, 0, 2494588, 103734, 1
7, 1, 2627486, 103765, 1
7, 1, 2660855, 103795, 1
7, 1, 2629434, 103825, 1
7, 0, 2699617, 103855, 1
7, 1, 2762694, 103885, 1
7, 1, 2811382, 103915, 1
7, 1, 2835841, 103945, 1
7, 0, 2862091, 103975, 1
7, 1, 2783431, 104005, 1
7, 1, 2881466, 104035, 1
7, 1, 3064223, 104065, 1
7, 0, 3063803, 104095, 1
7, 1, 2998584, 104126, 1
7, 1, 2850620, 104156, 1
7, 1, 2771337, 104186, 1
7, 0, 2795000, 104216, 1
7, 1, 2937420, 104246, 1
7, 1, 3065999, 104276, 1
7, 1, 3095898, 104306, 1
7, 0, 3188681, 104336, 1
7, 1, 3128794, 104366, 1
7, 1, 2976604, 104396, 1
7, 1, 2962139, 104426, 1
7, 0, 3049616, 104456, 1
7, 1, 3095219, 104486, 1
7, 1, 3092383, 104517, 1
7, 1, 3117122, 104547, 1
7, 0, 3057766, 104577, 1
7, 1, 3001417, 104607, 1
7, 1, 2981847, 104637, 1
7, 1, 2950571, 104667, 1
7, 0, 2969797, 104697, 1
7, 1, 3001727, 104727, 1
7, 1, 2971357, 104757, 1
7, 0, 2906684, 104787, 1
7, 1, 2905826, 104817, 1
7, 1, 2970132, 104847, 1
7, 1, 2970395, 104878, 1
7, 1, 2874574, 104908, 1
7, 0, 2905766, 104938, 1
7, 1, 2895707, 104968, 1
7, 1, 2788690, 104998, 1
7, 1, 2829487, 105028, 1
7, 1, 2755777, 105058, 1
7, 0, 2689101, 105088, 1
7, 1, 2734877, 105118, 1
7, 1, 2683009, 105148, 1
7, 0, 2636714, 105178, 1
7, 1, 2639815, 105208, 1
7, 1, 2633507, 105238, 1
7, 0, 2566343, 105269, 1
7, 1, 2509033, 105299, 1
7, 1, 2471405, 105329, 1
7, 1, 2404665, 105359, 1
7, 1, 2377245, 105389, 1
7, 0, 2317426, 105419, 1
7, 1, 2255347, 105449, 1
7, 1, 2249509, 105479, 1
7, 1, 2086493, 105509, 1
7, 0, 2083904, 105539, 1
7, 1, 2232949, 105569, 1
7, 1, 2204652, 105599, 1
7, 0, 2184320, 105629, 1
7, 1, 2187101, 105660, 1
7, 1, 2178337, 105690, 1
7, 1, 2142566, 105720, 1
7, 0, 2087416, 105750, 1
7, 1, 2086210, 105780, 1
7, 1, 2111736, 105810, 1
7, 1, 2080871, 105840, 1
7, 0, 2054891, 105870, 1
7, 1, 2058037, 105900, 1
7, 1, 2060368, 105930, 1
7, 1, 2089328, 105960, 1
7, 0, 2087993, 105990, 1
7, 1, 2059713, 106020, 1
7, 1, 2055118, 106051, 1
7, 1, 1954467, 106081, 1
7, 0, 1666369, 106111, 1
7, 1, 1341746, 106141, 1
7, 1, 1041355, 106171, 1
7, 1, 871166, 106201, 1
7, 1, 1090803, 106231, 1
7, 0, 1514672, 106261, 1
7, 1, 2048002, 106291, 1
7, 1, 2378175, 106321, 1
7, 1, 2576924, 106351, 1
7, 0, 2772815, 106381, 1
7, 1, 2671779, 106411, 1
7, 1, 2638570, 106441, 1
7, 1, 2804757, 106472, 1
7, 1, 2936041, 106502, 1
7, 0, 3047269, 106532, 1
7, 1, 3128905, 106562, 1
7, 1, 3130834, 106592, 1
7, 1, 3141712, 106622, 1
7, 0, 3298082, 106652, 1
7, 1, 3414849, 106682, 1
7, 1, 3405900, 106712, 1
7, 0, 3434319, 106742, 1
7, 1, 3411935, 106772, 1
7, 1, 3239465, 106802, 1
7, 1, 3205261, 106833, 1
7, 0, 3443034, 106863, 1
7, 1, 3636054, 106893, 1
7, 1, 3736782, 106923, 1
7, 1, 3796299, 106953, 1
7, 0, 3857096, 106983, 1
7, 1, 3835264, 107013, 1
7, 1, 3611782, 107043, 1
7, 1, 3333331, 107073, 1
7, 0, 3109274, 107103, 1
7, 1, 3386506, 107133, 1
7, 1, 3878161, 107163, 1
7, 1, 3994083, 107193, 1
7, 0, 3919676, 107223, 1
7, 1, 3769246, 107254, 1
7, 1, 3660610, 107284, 1
7, 1, 3587833, 107314, 1
7, 1, 3090405, 107344, 1
7, 0, 2219277, 107374, 1
