dist, angle, rangeIR, mts, flag
8, 1, 2708086, 159361, 1
7, 1, 2636987, 159391, 1
7, 0, 2587655, 159421, 1
7, 1, 2522361, 159451, 1
7, 1, 2506724, 159481, 1
7, 1, 2475628, 159511, 1
7, 0, 2421849, 159541, 1
7, 1, 2383135, 159572, 1
7, 1, 2308553, 159602, 1
7, 1, 2186280, 159632, 1
7, 0, 2122642, 159662, 1
7, 1, 2120730, 159692, 1
7, 1, 2150918, 159722, 1
7, 1, 2216937, 159752, 1
6, 1, 2235011, 159782, 1
8, 0, 2200405, 159812, 1
6, 1, 2182433, 159842, 1
7, 1, 2032226, 159872, 1
7, 0, 1889712, 159902, 1
7, 1, 1974997, 159933, 1
8, 1, 2084772, 159963, 1
7, 1, 2037371, 159993, 1
6, 0, 1958501, 160023, 1
8, 1, 2005904, 160053, 1
6, 1, 2053505, 160083, 1
8, 1, 2056778, 160113, 1
6, 0, 2048498, 160143, 1
7, 1, 1983159, 160173, 1
7, 1, 1990847, 160203, 1
7, 1, 2055939, 160233, 1
7, 0, 2052736, 160263, 1
7, 1, 2017618, 160294, 1
7, 1, 1729011, 160324, 1
7, 1, 1187983, 160354, 1
7, 0, 854500, 160384, 1
7, 1, 802951, 160414, 1
8, 1, 708763, 160444, 1
7, 1, 1062024, 160474, 1
7, 1, 1974585, 160504, 1
7, 0, 2279378, 160534, 1
7, 1, 2276134, 160564, 1
7, 1, 2506614, 160594, 1
7, 1, 2695085, 160624, 1
7, 0, 2841955, 160654, 1
6, 1, 2801806, 160684, 1
8, 1, 2738546, 160715, 1
6, 0, 2809858, 160745, 1
7, 1, 2936985, 160775, 1
7, 1, 2951827, 160805, 1
8, 1, 2892913, 160835, 1
7, 1, 2910239, 160865, 1
7, 0, 3063935, 160895, 1
6, 1, 3218100, 160925, 1
7, 1, 3255297, 160955, 1
8, 0, 3322899, 160985, 1
7, 1, 3142228, 161015, 1
7, 1, 3097040, 161045, 1
7, 1, 3434342, 161075, 1
6, 0, 3675714, 161106, 1
7, 1, 3708244, 161136, 1
7, 1, 3612227, 161166, 1
7, 1, 3545950, 161196, 1
7, 0, 3605570, 161226, 1
7, 1, 3500436, 161256, 1
7, 1, 3175698, 161286, 1
7, 1, 2900716, 161316, 1
7, 1, 3066222, 161346, 1
7, 0, 3562111, 161376, 1
7, 1, 3744049, 161406, 1
7, 1, 3690237, 161436, 1
7, 1, 3604896, 161466, 1
7, 0, 3502863, 161497, 1
7, 1, 3390391, 161527, 1
7, 1, 2857907, 161557, 1
7, 1, 1948563, 161587, 1
7, 0, 1355166, 161617, 1
7, 1, 1220918, 161647, 1
7, 1, 2036299, 161677, 1
7, 1, 3379020, 161707, 1
7, 0, 3976256, 161737, 1
7, 1, 4013848, 161767, 1
7, 1, 4023889, 161797, 1
7, 0, 3909885, 161827, 1
8, 1, 3817123, 161857, 1
6, 1, 3868389, 161888, 1
7, 1, 3867361, 161918, 1
7, 1, 3868991, 161948, 1
7, 0, 3934676, 161978, 1
7, 1, 4027715, 162008, 1
7, 1, 3932832, 162038, 1
4, 0, 3932832, 162053, 1
10, 1, 3829245, 162098, 1
4, 0, 3829245, 162113, 1
7, 1, 3798183, 162143, 1
7, 1, 3738741, 162173, 1
7, 1, 3652436, 162203, 1
7, 0, 3583281, 162233, 1
7, 1, 3536102, 162263, 1
7, 1, 3604841, 162293, 1
7, 1, 3639834, 162324, 1
7, 0, 3543331, 162354, 1
7, 1, 3508417, 162384, 1
7, 1, 3333928, 162414, 1
7, 0, 3225295, 162444, 1
7, 1, 3336151, 162474, 1
7, 1, 3381384, 162504, 1
7, 1, 3414948, 162534, 1
7, 0, 3432580, 162564, 1
7, 1, 3398015, 162594, 1
7, 1, 3285442, 162624, 1
7, 1, 3194267, 162654, 1
7, 0, 3194878, 162684, 1
7, 1, 3192026, 162715, 1
7, 1, 3223441, 162745, 1
7, 1, 3201786, 162775, 1
7, 0, 3130012, 162805, 1
7, 1, 3088037, 162835, 1
7, 1, 2888864, 162865, 1
7, 1, 2836725, 162895, 1
7, 0, 2975567, 162925, 1
7, 1, 2964554, 162955, 1
7, 1, 2875976, 162985, 1
7, 0, 2815664, 163015, 1
7, 1, 2811379, 163045, 1
7, 1, 2777072, 163075, 1
7, 1, 2727346, 163106, 1
7, 0, 2721404, 163136, 1
7, 1, 2743322, 163166, 1
7, 1, 2780894, 163196, 1
7, 1, 2783107, 163226, 1
7, 1, 2727499, 163256, 1
7, 0, 2668344, 163286, 1
7, 1, 2637216, 163316, 1
7, 1, 2640038, 163346, 1
7, 1, 2629023, 163376, 1
7, 0, 2593907, 163406, 1
7, 1, 2572795, 163436, 1
7, 1, 2547154, 163466, 1
7, 1, 2506762, 163497, 1
7, 0, 2467987, 163527, 1
7, 1, 2411289, 163557, 1
7, 1, 2381701, 163587, 1
7, 0, 2376112, 163617, 1
7, 1, 2340919, 163647, 1
7, 1, 2346944, 163677, 1
7, 1, 2318113, 163707, 1
7, 0, 2225251, 163737, 1
7, 1, 2253795, 163767, 1
7, 1, 2314458, 163797, 1
7, 1, 2358353, 163827, 1
7, 1, 2425208, 163857, 1
7, 1, 2543346, 163887, 1
7, 0, 2639232, 163918, 1
7, 1, 2684620, 163948, 1
7, 1, 2770340, 163978, 1
7, 1, 2875585, 164008, 1
7, 0, 2970963, 164038, 1
7, 1, 3015481, 164068, 1
7, 1, 3046362, 164098, 1
7, 1, 3097430, 164128, 1
7, 0, 3160784, 164158, 1
7, 1, 3200562, 164188, 1
7, 1, 3232572, 164218, 1
7, 1, 3288697, 164248, 1
7, 0, 3349343, 164279, 1
7, 1, 3384430, 164309, 1
7, 1, 3418719, 164339, 1
7, 0, 3478658, 164369, 1
7, 1, 3536806, 164399, 1
7, 1, 3570346, 164429, 1
7, 1, 3607104, 164459, 1
7, 0, 3637358, 164489, 1
7, 1, 3682364, 164519, 1
7, 1, 3748492, 164549, 1
7, 1, 3735330, 164579, 1
7, 1, 3738152, 164609, 1
7, 0, 3777324, 164639, 1
7, 1, 3775654, 164669, 1
7, 1, 3805044, 164700, 1
7, 1, 3839445, 164730, 1
7, 0, 3840825, 164760, 1
7, 1, 3837622, 164790, 1
7, 1, 3867063, 164820, 1
7, 1, 3901089, 164850, 1
7, 0, 3902308, 164880, 1
7, 1, 3899220, 164910, 1
7, 1, 3898453, 164940, 1
7, 1, 3928064, 164970, 1
7, 0, 3951359, 165000, 1
7, 1, 3891028, 165031, 1
7, 1, 3837355, 165061, 1
7, 0, 3840162, 165091, 1
7, 1, 3838877, 165121, 1
7, 1, 3836114, 165151, 1
7, 1, 3837815, 165181, 1
7, 1, 3839969, 165211, 1
7, 0, 3836905, 165241, 1
7, 1, 3803136, 165271, 1
7, 1, 3775584, 165301, 1
7, 1, 3777582, 165331, 1
7, 0, 3775674, 165361, 1
7, 1, 3774069, 165391, 1
7, 1, 3925044, 165422, 1
7, 0, 4042755, 165452, 1
7, 1, 3854385, 165482, 1
7, 1, 3667864, 165512, 1
7, 1, 3667864, 165542, 1
7, 0, 3638962, 165572, 1
7, 1, 3631318, 165602, 1
7, 1, 3596766, 165632, 1
7, 1, 3541678, 165662, 1
7, 0, 3405230, 165692, 1
7, 1, 3264662, 165722, 1
7, 1, 3337081, 165752, 1
7, 1, 3445615, 165782, 1
7, 0, 3448700, 165813, 1
7, 1, 3445067, 165843, 1
7, 1, 3410434, 165873, 1
7, 1, 3607285, 165903, 1
7, 0, 3747510, 165933, 1
7, 1, 3489222, 165963, 1
7, 1, 3286336, 165993, 1
