dist, angle, rangeIR, mts, flag
7, 1, 1162581, 31831, 1
7, 1, 1195952, 31861, 1
7, 1, 1196367, 31891, 1
7, 0, 1228670, 31921, 1
7, 1, 1211555, 31951, 1
7, 1, 1137816, 31981, 1
7, 1, 1056396, 32011, 1
7, 0, 904293, 32042, 1
7, 1, 857988, 32072, 1
7, 1, 917980, 32102, 1
7, 1, 899320, 32132, 1
6, 0, 1095388, 32162, 1
8, 1, 1464594, 32192, 1
7, 1, 1703554, 32222, 1
7, 1, 1862097, 32252, 1
7, 0, 1989066, 32282, 1
7, 1, 2002798, 32312, 1
6, 1, 1768749, 32342, 1
8, 0, 1244859, 32372, 1
7, 1, 665894, 32402, 1
7, 1, 335782, 32433, 1
7, 1, 322520, 32463, 1
7, 0, 830503, 32493, 1
7, 1, 1348589, 32523, 1
7, 1, 1454265, 32553, 1
7, 1, 1496568, 32583, 1
7, 0, 1395582, 32613, 1
7, 1, 1421770, 32643, 1
7, 1, 1645357, 32673, 1
7, 1, 2014971, 32703, 1
7, 0, 2346319, 32733, 1
7, 1, 2402340, 32763, 1
7, 1, 2431516, 32793, 1
7, 1, 2376221, 32824, 1
7, 0, 2348281, 32854, 1
7, 1, 2319449, 32884, 1
7, 1, 2091389, 32914, 1
7, 1, 1958748, 32944, 1
7, 0, 1993986, 32974, 1
7, 1, 1956307, 33004, 1
6, 1, 1752331, 33034, 1
8, 1, 1588393, 33064, 1
7, 1, 1423912, 33094, 1
7, 0, 1138839, 33124, 1
7, 1, 1237850, 33155, 1
7, 1, 1555719, 33185, 1
7, 0, 1583609, 33215, 1
8, 1, 1406858, 33305, 1
7, 1, 1018404, 33335, 1
7, 0, 743620, 33365, 1
7, 1, 677042, 33395, 1
7, 1, 711554, 33425, 1
7, 1, 720526, 33455, 1
7, 1, 780244, 33485, 1
7, 0, 739458, 33515, 1
7, 1, 679662, 33546, 1
7, 1, 636293, 33576, 1
7, 0, 464803, 33606, 1
7, 1, 403057, 33636, 1
7, 1, 531800, 33666, 1
7, 1, 672751, 33696, 1
7, 1, 906646, 33726, 1
7, 0, 1260014, 33756, 1
7, 1, 1544650, 33786, 1
7, 1, 1637642, 33816, 1
7, 0, 1614701, 33846, 1
7, 1, 1431253, 33876, 1
7, 1, 1373365, 33906, 1
7, 1, 1493510, 33936, 1
7, 0, 1487183, 33967, 1
7, 1, 1223756, 33997, 1
7, 1, 839527, 34027, 1
7, 1, 429939, 34057, 1
7, 0, 349768, 34087, 1
7, 1, 531649, 34117, 1
7, 1, 489603, 34147, 1
7, 1, 358284, 34177, 1
7, 0, 189484, 34207, 1
7, 1, 95132, 34237, 1
7, 1, 81232, 34267, 1
7, 1, 80493, 34297, 1
7, 0, 80548, 34327, 1
7, 1, 439833, 34358, 1
7, 1, 439833, 34388, 1
7, 1, 890152, 34418, 1
7, 0, 1152212, 34448, 1
